flat_type,flat_price,location,buildup_area_sqft,price_per_sqft,age_of_property,new_age,which_floor,furnishing,carpet_area,bedrooms,bathrooms,balcony,parking
2 BHK Flat,1.06,Mira Road East,605.0,17500.0,2 BHK,,Middleof 40 floors,Semi Furnished,,2.0,,0.0,no
2 BHK Flat,0.96,Mira Road East,620.0,15500.0,2 BHK,,Middleof 15 floors,Semi Furnished,,2.0,,0.0,no
2 BHK Flat,1.08,Mira Road East,695.0,15500.0,Ready to move,,unknown,,695.0,2.0,2.0,2.0,no
2 BHK Flat,0.99,Mira Road East,646.0,15400.0,2 BHK,,Middleof 26 floors,Semi Furnished,646.0,2.0,3.0,0.0,no
1 BHK Flat,0.67,Bhayandar East,735.0,9100.0,Ready to move,,unknown,,446.0,1.0,2.0,2.0,no
1 BHK Flat,0.66,Bhayandar East,720.0,9170.0,Ready to move,,unknown,,390.0,1.0,2.0,0.0,Yes
1 BHK Flat,0.67,Mira Road East,740.0,9040.0,Ready to move,,unknown,,447.0,1.0,2.0,0.0,Yes
1 BHK Flat,0.64,others,740.0,8650.0,Ready to move,,unknown,,440.0,1.0,2.0,2.0,Yes
1 BHK Flat,0.7,Mira Road East,675.0,10360.0,Ready to move,,unknown,,470.0,1.0,2.0,2.0,no
1 BHK Flat,0.29,Virar West,540.0,5370.0,1 Years Old,1.0,Higherof 7 floors,Semi Furnished,337.0,1.0,1.0,1.0,Yes
1 BHK Flat,0.58,Mira Road East,685.0,8500.0,1 BHK,,Middleof 15 floors,Semi Furnished,428.0,1.0,2.0,0.0,no
2 BHK Flat,0.64,Mira Road East,529.0,12140.0,2 BHK,,Middleof 28 floors,Semi Furnished,,2.0,,0.0,no
4 BHK Flat,18.75,Prabhadevi,2500.0,75000.0,1 Years Old,1.0,Middleof 68 floors,Unfurnished,2500.0,4.0,4.0,4.0,Yes
1 BHK Flat,0.69,Mira Road East,770.0,9000.0,Ready to move,,unknown,,465.0,1.0,2.0,0.0,no
2 BHK Flat,0.99,Mira Road East,1050.0,9470.0,Ready to move,,unknown,,669.0,2.0,2.0,3.0,no
2 BHK Flat,0.92,Bhayandar East,965.0,9500.0,2 BHK,,Lowerof 30 floors,Semi Furnished,670.0,2.0,2.0,4.0,no
1 BHK Flat,0.63,others,695.0,9000.0,Ready to move,,unknown,,430.0,1.0,2.0,0.0,no
1 BHK Flat,0.65,Mira Road East,750.0,8660.0,Ready to move,,unknown,,433.0,1.0,2.0,0.0,no
1 BHK Flat,0.64,Bhayandar East,714.0,9010.0,Ready to move,,unknown,,422.0,1.0,2.0,0.0,no
1 BHK Flat,0.7,Mira Road East,465.0,15000.0,1 BHK,,Lowerof 49 floors,Semi Furnished,,2.0,,0.0,no
1 BHK Flat,0.62,Mira Road East,738.0,8410.0,Ready to move,,unknown,,488.0,1.0,2.0,0.0,no
