flat_type,flat_price,location,buildup_area_sqft,price_per_sqft,age_of_property,new_age,which_floor,furnishing,carpet_area,bedrooms,bathrooms,balcony,parking
1 BHK Flat,1.21,Borivali West,650.0,18610.0,1 Years Old,1.0,Higherof 9 floors,Semi Furnished,,2.0,,0.0,Yes
2 BHK Flat,2.99,Wadala East,1356.0,22050.0,2 Year Old,2.0,Higherof 45 floors,Semi Furnished,915.0,2.0,2.0,1.0,Yes
2 BHK Flat,1.45,Malad East,950.0,15260.0,1 Years Old,1.0,Lowerof 40 floors,Fully Furnished,590.0,2.0,2.0,0.0,Yes
3 BHK Flat,5.5,Vile Parle West,1450.0,37930.0,2 Year Old,2.0,Higherof 7 floors,Fully Furnished,,3.0,1.0,,Yes
2 BHK Flat,1.52,Kanjurmarg East,750.0,20270.0,1 Years Old,1.0,Middleof 35 floors,Semi Furnished,555.0,2.0,2.0,0.0,Yes
3 BHK Flat,3.7,Kanjurmarg West,1550.0,23870.0,3 Year Old,3.0,Higherof 50 floors,Fully Furnished,1130.0,3.0,2.0,1.0,Yes
2 BHK Flat,2.05,Kanjurmarg West,1200.0,17080.0,4 Year Old,4.0,Higherof 36 floors,Semi Furnished,771.0,2.0,2.0,0.0,Yes
4 BHK Flat,4.0,Kandivali East,1900.0,21050.0,1 Years Old,1.0,Middleof 40 floors,Unfurnished,1359.0,4.0,3.0,0.0,Yes
2 BHK Flat,2.12,Mulund East,1150.0,18430.0,Ready to move,,unknown,,727.0,2.0,2.0,0.0,Yes
1 BHK Flat,1.85,Vikhroli East,600.0,30830.0,3 Year Old,3.0,Middleof 6 floors,Semi Furnished,475.0,1.0,1.0,0.0,Yes
3 BHK Flat,7.4,Vile Parle West,1550.0,47740.0,1 Years Old,1.0,Higherof 10 floors,Unfurnished,,4.0,,0.0,Yes
1 BHK Flat,1.55,Powai,500.0,31000.0,1 Years Old,1.0,Middleof 20 floors,Semi Furnished,380.0,1.0,1.0,0.0,Yes
2 BHK Flat,2.25,Andheri West,665.0,33830.0,1 Years Old,1.0,Middleof 16 floors,Semi Furnished,665.0,2.0,2.0,0.0,Yes
1 BHK Flat,1.0,Borivali West,608.0,16450.0,1 BHK,,Higherof 7 floors,Unfurnished,,1.0,,0.0,Yes
3 BHK Flat,6.75,Andheri West,2134.0,31630.0,4 Year Old,4.0,Higherof 22 floors,Semi Furnished,1560.0,3.0,3.0,2.0,Yes
3 BHK Flat,6.0,Jogeshwari East,2000.0,30000.0,Ready to move,,unknown,,,3.0,1.0,,Yes
2 BHK Flat,1.8,Malad West,858.0,20980.0,3 Year Old,3.0,Lowerof 23 floors,Semi Furnished,716.0,2.0,2.0,2.0,Yes
2 BHK Flat,2.3,Kandivali East,965.0,23830.0,2 Year Old,2.0,Lowerof 37 floors,Semi Furnished,631.0,2.0,2.0,0.0,Yes
1 BHK Flat,1.3,Goregaon West,650.0,20000.0,1 Years Old,1.0,Higherof 22 floors,Semi Furnished,436.0,1.0,2.0,0.0,Yes
4 BHK Flat,5.96,Mulund West,2260.0,26390.0,Ready to move,,unknown,,1926.0,4.0,5.0,1.0,Yes
2 BHK Flat,1.93,Kandivali East,870.0,22180.0,2 Year Old,2.0,Higherof 40 floors,Fully Furnished,643.0,2.0,2.0,0.0,Yes
2 BHK Flat,1.9,Goregaon West,850.0,22350.0,3 Year Old,3.0,Middleof 30 floors,Semi Furnished,710.0,2.0,2.0,0.0,Yes
1 BHK Flat,0.55,Thane West,653.0,8410.0,2 Year Old,2.0,Middleof 31 floors,Semi Furnished,456.0,1.0,1.0,1.0,Yes
1 BHK Flat,0.2,Palghar,615.0,3250.0,3 Year Old,3.0,Middleof 5 floors,,410.0,1.0,1.0,2.0,Yes
1 BHK Flat,1.2,Kandivali West,620.0,19350.0,1 Years Old,1.0,Middleof 23 floors,Unfurnished,417.0,1.0,1.0,0.0,Yes
1 BHK Flat,0.21,Virar West,650.0,3310.0,1 Years Old,1.0,Higherof 4 floors,,,1.0,2.0,,no
1 BHK Flat,0.9,Kandivali East,550.0,16360.0,2 Year Old,2.0,Middleof 21 floors,Semi Furnished,425.0,1.0,2.0,0.0,Yes
2 BHK Flat,1.9,Kanjurmarg East,897.0,21180.0,2 Year Old,2.0,Middleof 52 floors,Semi Furnished,690.0,2.0,2.0,0.0,Yes
1 BHK Flat,1.37,Mulund West,774.0,17700.0,Ready to move,,unknown,,474.0,1.0,2.0,0.0,Yes
4 BHK Flat,13.0,Khar West,2000.0,65000.0,1 Years Old,1.0,Middleof 18 floors,Semi Furnished,1800.0,4.0,4.0,0.0,Yes
4 BHK Flat,23.5,Worli,4000.0,58750.0,2 Year Old,2.0,Higherof 77 floors,Fully Furnished,2900.0,4.0,3.0,0.0,Yes
3 BHK Flat,3.9,Vile Parle East,838.0,46540.0,1 Years Old,1.0,Higherof 7 floors,Unfurnished,838.0,3.0,2.0,0.0,Yes
2 BHK Flat,1.75,Borivali West,900.0,19440.0,Ready to move,,unknown,,,2.0,,0.0,Yes
2 BHK Flat,2.38,Kandivali East,667.0,35680.0,3 Year Old,3.0,Middleof 20 floors,Fully Furnished,667.0,2.0,2.0,0.0,Yes
2 BHK Flat,1.71,Borivali West,1100.0,15540.0,1 Years Old,1.0,Middleof 9 floors,Unfurnished,,2.0,,0.0,Yes
3 BHK Flat,4.28,Chembur,2200.0,19450.0,3 Year Old,3.0,Higherof 17 floors,Semi Furnished,1324.0,3.0,3.0,3.0,Yes
2 BHK Flat,1.74,Malad East,1200.0,14540.0,Ready to move,,unknown,,730.0,2.0,2.0,0.0,Yes
4 BHK Flat,10.0,Juhu,2200.0,45450.0,2 Year Old,2.0,Middleof 7 floors,Fully Furnished,,4.0,2.0,,Yes
2 BHK Flat,2.45,Powai,1100.0,22270.0,1 Years Old,1.0,Higherof 30 floors,Semi Furnished,723.0,2.0,2.0,1.0,Yes
2 BHK Flat,2.1,Kanjurmarg East,1200.0,17500.0,1 Years Old,1.0,Lowerof 50 floors,Unfurnished,810.0,2.0,2.0,0.0,Yes
3 BHK Flat,4.45,Mulund West,2170.0,20510.0,Ready to move,,unknown,,1451.0,3.0,3.0,1.0,Yes
1 BHK Flat,1.2,Mulund East,585.0,20510.0,4 Year Old,4.0,Middleof 8 floors,Unfurnished,420.0,1.0,2.0,0.0,Yes
1 BHK Flat,1.95,Vikhroli East,650.0,30000.0,3 Year Old,3.0,Middleof 6 floors,Unfurnished,475.0,1.0,1.0,0.0,Yes
2 BHK Flat,2.4,Andheri West,665.0,36090.0,1 Years Old,1.0,Lowerof 16 floors,Unfurnished,,2.0,,0.0,Yes
2 BHK Flat,2.0,Andheri West,585.0,34190.0,4 Year Old,4.0,Lowerof 16 floors,Semi Furnished,585.0,2.0,2.0,0.0,Yes
3 BHK Flat,4.25,Andheri West,1678.0,25330.0,1 Years Old,1.0,Middleof 35 floors,Unfurnished,1118.0,3.0,3.0,1.0,Yes
3 BHK Flat,8.5,Goregaon East,2100.0,40480.0,2 Year Old,2.0,Higherof 55 floors,Semi Furnished,1550.0,3.0,4.0,1.0,Yes
2 BHK Flat,1.8,Goregaon West,890.0,20220.0,1 Years Old,1.0,Higherof 22 floors,Semi Furnished,725.0,2.0,2.0,0.0,Yes
3 BHK Flat,3.15,Goregaon West,1305.0,24140.0,2 Year Old,2.0,Higherof 37 floors,Semi Furnished,1086.0,3.0,3.0,4.0,Yes
3 BHK Flat,3.85,Borivali East,1400.0,27500.0,1 Years Old,1.0,Lowerof 63 floors,Unfurnished,1070.0,3.0,3.0,0.0,Yes
2 BHK Flat,1.78,Dahisar West,900.0,19780.0,1 Years Old,1.0,Higherof 22 floors,Unfurnished,675.0,2.0,2.0,0.0,Yes
1 BHK Flat,1.22,Borivali West,403.0,30270.0,1 Years Old,1.0,Lowerof 18 floors,Unfurnished,,2.0,,0.0,Yes
3 BHK Flat,2.51,Kanjurmarg East,1322.0,18990.0,4 Year Old,4.0,Middleof 22 floors,Semi Furnished,969.0,3.0,3.0,1.0,Yes
3 BHK Flat,2.94,Malad East,1800.0,16329.999999999998,3 Year Old,3.0,Lowerof 22 floors,Semi Furnished,1105.0,3.0,3.0,0.0,Yes
3 BHK Flat,9.0,Juhu,1900.0,47370.0,3 Year Old,3.0,Higherof 10 floors,Fully Furnished,1600.0,3.0,3.0,2.0,Yes
1 BHK Flat,1.56,Powai,650.0,24000.0,2 Year Old,2.0,Middleof 23 floors,Semi Furnished,380.0,1.0,2.0,0.0,Yes
3 BHK Flat,2.7,Mulund West,1451.0,18610.0,Ready to move,,unknown,,1049.0,3.0,3.0,0.0,Yes
2 BHK Flat,3.15,Vile Parle West,700.0,45000.0,Ready to move,,unknown,,,2.0,,0.0,Yes
3 BHK Flat,7.5,Andheri West,2134.0,35150.0,1 Years Old,1.0,Middleof 15 floors,Semi Furnished,1280.0,3.0,3.0,1.0,Yes
2 BHK Flat,1.7,Kanjurmarg East,930.0,18280.0,3 Year Old,3.0,Lowerof 22 floors,Semi Furnished,732.0,2.0,2.0,0.0,Yes
1 BHK Flat,0.64,Mira Road East,732.0,8720.0,Ready to move,,unknown,,535.0,1.0,2.0,3.0,Yes
2 BHK Flat,1.3,Bhandup West,780.0,16670.0,1 Years Old,1.0,Higherof 10 floors,Semi Furnished,608.0,2.0,2.0,0.0,Yes
2 BHK Flat,3.25,Sion,1150.0,28260.0,1 Years Old,1.0,Middleof 38 floors,Semi Furnished,955.0,2.0,2.0,2.0,Yes
2 BHK Flat,2.6,Santacruz East,900.0,28890.0,2 Year Old,2.0,Higherof 14 floors,,700.0,2.0,2.0,0.0,Yes
3 BHK Flat,1.5,Virar West,1350.0,11110.0,4 Year Old,4.0,Lowerof 22 floors,Fully Furnished,,3.0,4.0,,Yes
3 BHK Flat,5.25,Bandra West,1200.0,43750.0,4 Year Old,4.0,Middleof 12 floors,,965.0,3.0,3.0,0.0,Yes
2 BHK Flat,3.1,Wadala East,1395.0,22220.0,3 Year Old,3.0,Lowerof 40 floors,Semi Furnished,994.0,2.0,2.0,1.0,Yes
3 BHK Flat,5.25,Govandi,1700.0,30880.0,4 Year Old,4.0,Higherof 22 floors,Unfurnished,1125.0,3.0,3.0,0.0,Yes
1 BHK Flat,0.99,Chembur,530.0,18770.0,2 Year Old,2.0,Middleof 23 floors,Semi Furnished,440.0,1.0,1.0,1.0,Yes
4 BHK Flat,15.0,Bandra West,2700.0,55550.0,4 BHK,,Higherof 20 floors,Fully Furnished,,5.0,1.0,,Yes
2 BHK Flat,2.5,Andheri East,1100.0,22730.0,2 Year Old,2.0,Lowerof 19 floors,Unfurnished,825.0,2.0,2.0,0.0,Yes
2 BHK Flat,2.4,Malad East,1290.0,18600.0,4 Year Old,4.0,Lowerof 39 floors,Semi Furnished,845.0,2.0,2.0,3.0,Yes
2 BHK Flat,2.5,Andheri East,725.0,34480.0,1 Years Old,1.0,Lowerof 11 floors,Unfurnished,650.0,2.0,2.0,0.0,Yes
1 BHK Flat,0.5,Vasai West,700.0,7140.0,2 Year Old,2.0,Middleof 17 floors,,,1.0,2.0,,Yes
2 BHK Flat,2.15,Goregaon West,800.0,26880.0,1 Years Old,1.0,Higherof 5 floors,,632.0,2.0,2.0,0.0,Yes
1 BHK Flat,1.2,Chembur,650.0,18460.0,2 Year Old,2.0,Lowerof 15 floors,Unfurnished,490.0,1.0,2.0,0.0,Yes
3 BHK Flat,4.55,Bandra East,1575.0,28890.0,2 Year Old,2.0,Higherof 20 floors,Unfurnished,1435.0,3.0,3.0,1.0,Yes
2 BHK Flat,1.25,Kurla East,636.0,19650.0,Ready to move,,unknown,,530.0,2.0,2.0,0.0,no
1 BHK Flat,0.28,Naigaon West,720.0,3890.0,3 Year Old,3.0,Lowerof 5 floors,,586.0,1.0,1.0,2.0,Yes
3 BHK Flat,4.5,Andheri West,1500.0,30000.0,2 Year Old,2.0,Lowerof 38 floors,Semi Furnished,1116.0,3.0,3.0,3.0,Yes
2 BHK Flat,2.25,Andheri West,715.0,31470.0,2 Year Old,2.0,Middleof 11 floors,Semi Furnished,593.0,2.0,2.0,0.0,Yes
1 BHK Flat,1.3,Mulund East,650.0,20000.0,2 Year Old,2.0,Middleof 23 floors,Semi Furnished,430.0,1.0,2.0,0.0,Yes
3 BHK Flat,7.5,Juhu,1500.0,50000.0,1 Years Old,1.0,Middleof 17 floors,Unfurnished,,3.0,1.0,,Yes
3 BHK Flat,7.4,Goregaon East,2195.0,33710.0,4 Year Old,4.0,Lowerof 55 floors,Semi Furnished,1400.0,3.0,4.0,0.0,Yes
3 BHK Flat,2.85,Goregaon West,1250.0,22800.0,1 Years Old,1.0,Higherof 20 floors,Unfurnished,,4.0,,0.0,Yes
2 BHK Flat,1.6,Kandivali East,790.0,20250.0,3 Year Old,3.0,Higherof 22 floors,Fully Furnished,594.0,2.0,2.0,0.0,Yes
2 BHK Flat,2.02,Andheri West,780.0,25900.0,1 Years Old,1.0,Higherof 22 floors,Unfurnished,664.0,2.0,2.0,0.0,Yes
1 BHK Flat,0.68,Bhandup West,370.0,18380.0,2 Year Old,2.0,Middleof 21 floors,Unfurnished,225.0,1.0,1.0,0.0,no
3 BHK Flat,4.2,Andheri West,1895.0,22160.0,1 Years Old,1.0,Higherof 15 floors,,1620.0,3.0,4.0,4.0,Yes
2 BHK Flat,0.5,Naigaon East,775.0,6450.0,3 Year Old,3.0,Middleof 22 floors,,547.0,2.0,1.0,3.0,Yes
2 BHK Flat,0.96,Thane West,1050.0,9140.0,3 Year Old,3.0,Higherof 27 floors,Unfurnished,750.0,2.0,2.0,1.0,Yes
2 BHK Flat,0.5,Naigaon East,610.0,8200.0,2 Year Old,2.0,Higherof 22 floors,,515.0,2.0,2.0,3.0,Yes
2 BHK Flat,0.95,Bhayandar East,950.0,10000.0,2 Year Old,2.0,Lowerof 19 floors,Semi Furnished,550.0,2.0,2.0,3.0,Yes
2 BHK Flat,3.6,Powai,1259.0,28590.0,2 Year Old,2.0,Higherof 22 floors,Semi Furnished,777.0,2.0,2.0,1.0,Yes
2 BHK Flat,2.75,Lower Parel,1050.0,26190.0,2 Year Old,2.0,Middleof 7 floors,Semi Furnished,850.0,2.0,3.0,0.0,Yes
1 BHK Flat,0.9,Dahisar East,725.0,12410.0,1 Years Old,1.0,Higherof 22 floors,Semi Furnished,441.0,1.0,2.0,0.0,Yes
3 BHK Flat,5.0,Chembur,1719.0,29090.0,1 Years Old,1.0,Middleof 13 floors,Unfurnished,1323.0,3.0,3.0,1.0,Yes
1 BHK Flat,1.05,Goregaon East,685.0,15330.0,3 Year Old,3.0,Middleof 12 floors,Unfurnished,,2.0,,0.0,Yes
2 BHK Flat,1.7,Mulund East,950.0,17890.0,1 Years Old,1.0,Higherof 16 floors,Fully Furnished,,2.0,,0.0,Yes
2 BHK Flat,1.6,Kanjurmarg East,700.0,22860.0,3 Year Old,3.0,Higherof 22 floors,Unfurnished,560.0,2.0,2.0,0.0,Yes
2 BHK Flat,1.95,Andheri West,900.0,21670.0,1 Years Old,1.0,Lowerof 7 floors,Fully Furnished,,2.0,,0.0,Yes
1 BHK Flat,0.75,Bhandup West,400.0,18750.0,4 Year Old,4.0,Higherof 22 floors,Semi Furnished,377.0,1.0,2.0,0.0,Yes
2 BHK Flat,1.89,Mulund East,1100.0,17180.0,1 Years Old,1.0,Middleof 20 floors,Unfurnished,,2.0,,0.0,Yes
1 BHK Flat,0.39,Virar West,630.0,6110.0,Ready to move,,unknown,,415.0,1.0,2.0,1.0,Yes
3 BHK Flat,4.0,Goregaon West,1350.0,29630.0,1 Years Old,1.0,Higherof 16 floors,Unfurnished,1033.0,3.0,3.0,0.0,Yes
2 BHK Flat,1.47,Borivali East,850.0,17290.0,Ready to move,,unknown,,574.0,2.0,2.0,0.0,no
1 BHK Flat,0.66,Mira Road East,750.0,8870.0,3 Year Old,3.0,Middleof 12 floors,Semi Furnished,490.0,1.0,2.0,3.0,Yes
2 BHK Flat,0.47,Naigaon East,980.0,4740.0,1 Years Old,1.0,Middleof 23 floors,Semi Furnished,590.0,2.0,2.0,3.0,Yes
2 BHK Flat,1.65,Mulund West,750.0,22000.0,1 Years Old,1.0,Lowerof 21 floors,Unfurnished,,2.0,,0.0,Yes
1 BHK Flat,0.42,others,650.0,6460.0,3 Year Old,3.0,Higherof 14 floors,,,2.0,2.0,,Yes
3 BHK Flat,2.81,others,841.0,33410.0,Ready to move,,unknown,,841.0,3.0,2.0,0.0,Yes
1 BHK Flat,1.2,Goregaon West,510.0,23530.0,1 Years Old,1.0,Lowerof 22 floors,Unfurnished,,2.0,,0.0,Yes
2 BHK Flat,1.75,Kanjurmarg West,1125.0,15550.0,3 Year Old,3.0,Middleof 36 floors,Semi Furnished,661.0,2.0,2.0,0.0,Yes
4 BHK Flat,8.0,Vikhroli East,1550.0,51610.0,4 Year Old,4.0,Lowerof 28 floors,Semi Furnished,,4.0,2.0,,Yes
2 BHK Flat,2.35,Andheri East,859.0,27360.0,1 Years Old,1.0,Middleof 15 floors,Unfurnished,730.0,2.0,2.0,0.0,Yes
2 BHK Flat,2.46,Chembur,1100.0,22360.0,1 Years Old,1.0,Higherof 16 floors,Semi Furnished,755.0,2.0,2.0,0.0,Yes
3 BHK Flat,4.61,Powai,1980.0,23280.0,2 Year Old,2.0,Higherof 14 floors,Semi Furnished,1351.0,3.0,3.0,5.0,Yes
1 BHK Flat,0.4,Vasai East,685.0,5840.0,1 Years Old,1.0,Lowerof 23 floors,Unfurnished,380.0,1.0,2.0,1.0,Yes
2 BHK Flat,2.0,Chembur,750.0,26670.0,3 Year Old,3.0,Lowerof 15 floors,,,2.0,,0.0,Yes
3 BHK Flat,2.78,Andheri East,880.0,31590.0,3 Year Old,3.0,Lowerof 22 floors,Unfurnished,,3.0,,0.0,Yes
4 BHK Flat,6.5,Chembur,2176.0,29870.0,4 Year Old,4.0,Higherof 11 floors,Semi Furnished,1700.0,4.0,4.0,5.0,Yes
3 BHK Flat,2.45,Kanjurmarg East,1050.0,23330.0,3 Year Old,3.0,Middleof 22 floors,Semi Furnished,940.0,3.0,3.0,0.0,Yes
2 BHK Flat,0.75,Vasai West,1081.0,6940.0,2 Year Old,2.0,Higherof 16 floors,Semi Furnished,732.0,2.0,2.0,3.0,Yes
4 BHK Flat,7.0,Chembur,3000.0,23330.0,1 Years Old,1.0,Lowerof 13 floors,Semi Furnished,,3.0,3.0,,Yes
2 BHK Flat,0.7,Vasai West,955.0,7330.0,2 Year Old,2.0,Middleof 14 floors,Semi Furnished,710.0,2.0,2.0,3.0,Yes
4 BHK Flat,6.8,Goregaon West,2378.0,28590.0,1 Years Old,1.0,Middleof 32 floors,Unfurnished,1762.0,4.0,4.0,0.0,Yes
3 BHK Flat,6.25,Khar West,1150.0,54350.0,2 Year Old,2.0,Middleof 7 floors,Unfurnished,,3.0,,0.0,Yes
3 BHK Flat,3.8,Chembur,1455.0,26120.0,2 Year Old,2.0,Middleof 15 floors,Unfurnished,,3.0,,0.0,Yes
1 BHK Flat,0.34,Naigaon East,619.0,5490.0,4 Year Old,4.0,Middleof 23 floors,Unfurnished,,2.0,3.0,,Yes
2 BHK Flat,1.1,Mira Road East,1150.0,9560.0,4 Year Old,4.0,Lowerof 10 floors,Semi Furnished,735.0,2.0,2.0,3.0,Yes
2 BHK Flat,2.18,Mulund West,935.0,23320.0,Ready to move,,unknown,,735.0,2.0,2.0,0.0,Yes
2 BHK Flat,1.7,Malad West,957.0,17760.0,1 Years Old,1.0,Middleof 9 floors,,557.0,2.0,2.0,0.0,Yes
3 BHK Flat,3.29,Andheri West,1400.0,23500.0,1 Years Old,1.0,Lowerof 22 floors,Unfurnished,,3.0,,0.0,Yes
2 BHK Flat,2.0,Chembur,850.0,23530.0,1 Years Old,1.0,Higherof 12 floors,Unfurnished,650.0,2.0,2.0,0.0,Yes
2 BHK Flat,1.3,Mira Road East,928.0,14010.0,2 Year Old,2.0,Middleof 36 floors,,650.0,2.0,2.0,3.0,Yes
3 BHK Flat,8.0,Santacruz West,1400.0,57140.0,1 Years Old,1.0,Middleof 12 floors,Semi Furnished,,3.0,,0.0,Yes
1 BHK Flat,0.35,Naigaon West,480.0,7290.0,3 Year Old,3.0,Lowerof 4 floors,Semi Furnished,,1.0,,0.0,Yes
2 BHK Flat,2.9,Andheri West,750.0,38670.0,1 Years Old,1.0,Lowerof 22 floors,,,3.0,1.0,,Yes
3 BHK Flat,5.0,Borivali East,2278.0,21950.0,2 Year Old,2.0,Higherof 62 floors,Unfurnished,1378.0,3.0,3.0,3.0,Yes
4 BHK Flat,12.5,Prabhadevi,3200.0,39060.0,1 Years Old,1.0,Middleof 26 floors,Semi Furnished,,4.0,2.0,,Yes
2 BHK Flat,2.8,Chembur,910.0,30770.0,1 Years Old,1.0,Lowerof 14 floors,Unfurnished,,2.0,1.0,,Yes
2 BHK Flat,2.0,Mulund East,860.0,23250.0,1 Years Old,1.0,Middleof 36 floors,Semi Furnished,860.0,2.0,2.0,2.0,Yes
1 BHK Flat,0.85,Vikhroli East,660.0,12880.0,1 Years Old,1.0,Lowerof 23 floors,Unfurnished,400.0,1.0,2.0,0.0,Yes
3 BHK Flat,3.7,Mulund West,1850.0,20000.0,1 Years Old,1.0,Middleof 36 floors,Semi Furnished,1112.0,3.0,3.0,1.0,Yes
2 BHK Flat,2.5,Andheri West,700.0,35710.0,Ready to move,,unknown,,,2.0,3.0,,Yes
1 BHK Flat,1.05,Jogeshwari West,428.0,24530.0,3 Year Old,3.0,Middleof 12 floors,Semi Furnished,,2.0,2.0,,no
2 BHK Flat,3.45,Andheri West,1200.0,28750.0,4 Year Old,4.0,Middleof 37 floors,Fully Furnished,802.0,2.0,2.0,0.0,Yes
2 BHK Flat,1.45,Kurla East,845.0,17160.0,4 Year Old,4.0,Higherof 10 floors,Fully Furnished,,1.0,3.0,,Yes
1 BHK Flat,0.2,Palghar,610.0,3200.0,3 Year Old,3.0,Lowerof 7 floors,Semi Furnished,,2.0,1.0,,Yes
1 BHK Flat,0.34,Virar West,590.0,5760.0,1 Years Old,1.0,Middleof 14 floors,Semi Furnished,380.0,1.0,1.0,0.0,Yes
1 BHK Flat,1.15,Andheri West,538.0,21380.0,Ready to move,,,Unfurnished,359.0,1.0,1.0,0.0,no
1 BHK Flat,0.35,Naigaon East,610.0,5740.0,1 Years Old,1.0,Lowerof 24 floors,Fully Furnished,407.0,1.0,2.0,2.0,Yes
1 BHK Flat,0.24,Boisar,615.0,3900.0,4 Year Old,4.0,Higherof 4 floors,Semi Furnished,410.0,1.0,2.0,2.0,Yes
3 BHK Flat,5.0,Vile Parle East,1300.0,38460.0,1 Years Old,1.0,Higherof 8 floors,Semi Furnished,,3.0,,0.0,Yes
4 BHK Flat,5.5,Kandivali East,2500.0,22000.0,Ready to move,,,Unfurnished,,4.0,1.0,,Yes
2 BHK Flat,4.4,Parel,1150.0,38260.0,3 Year Old,3.0,Middleof 65 floors,Semi Furnished,840.0,2.0,2.0,0.0,Yes
2 BHK Flat,0.63,Vasai West,850.0,7410.0,2 BHK,,Middleof 7 floors,,,2.0,,,no
2 BHK Flat,1.55,Kandivali East,950.0,16320.0,4 Year Old,4.0,Lowerof 36 floors,,645.0,2.0,2.0,0.0,Yes
3 BHK Flat,3.1,Andheri West,1100.0,28180.0,4 Year Old,4.0,Middleof 22 floors,,930.0,3.0,3.0,0.0,Yes
1 BHK Flat,0.85,Mira Road East,700.0,12140.0,3 Year Old,3.0,Middleof 22 floors,Semi Furnished,458.0,1.0,2.0,2.0,Yes
2 BHK Flat,2.6,Wadala,900.0,28890.0,2 BHK,,Higherof 44 floors,Unfurnished,684.0,2.0,2.0,0.0,Yes
3 BHK Flat,4.5,Goregaon West,1500.0,30000.0,1 Years Old,1.0,Middleof 33 floors,Semi Furnished,1276.0,3.0,3.0,2.0,Yes
2 BHK Flat,1.4,Kandivali East,780.0,17950.0,3 Year Old,3.0,Lowerof 38 floors,Semi Furnished,614.0,2.0,2.0,0.0,Yes
1 BHK Flat,0.34,Naigaon East,610.0,5570.0,2 Year Old,2.0,Lowerof 22 floors,Unfurnished,407.0,1.0,2.0,2.0,Yes
3 BHK Flat,5.2,Vikhroli East,1860.0,27960.0,4 Year Old,4.0,Middleof 12 floors,Unfurnished,1110.0,3.0,2.0,2.0,Yes
2 BHK Flat,1.35,Mulund East,680.0,19850.0,4 Year Old,4.0,Lowerof 18 floors,Semi Furnished,525.0,2.0,2.0,0.0,Yes
1 BHK Flat,0.58,Mira Road East,520.0,11150.0,Ready to move,,unknown,,366.0,1.0,2.0,2.0,Yes
2 BHK Flat,1.45,Bhandup West,880.0,16480.0,1 Years Old,1.0,Higherof 22 floors,Unfurnished,680.0,2.0,2.0,0.0,Yes
3 BHK Flat,3.15,Mulund West,1400.0,22500.0,1 Years Old,1.0,Lowerof 60 floors,,1049.0,3.0,3.0,1.0,Yes
2 BHK Flat,1.3,Kurla West,900.0,14440.0,3 Year Old,3.0,Lowerof 6 floors,Unfurnished,,2.0,,,no
1 BHK Flat,1.12,Goregaon West,550.0,20360.0,2 Year Old,2.0,Middleof 18 floors,Fully Furnished,343.0,1.0,1.0,0.0,no
4 BHK Flat,10.0,Bandra West,2000.0,50000.0,3 Year Old,3.0,Middleof 9 floors,Fully Furnished,,4.0,2.0,,Yes
2 BHK Flat,1.69,Andheri East,615.0,27480.0,1 Years Old,1.0,Lowerof 20 floors,Unfurnished,615.0,2.0,2.0,0.0,Yes
1 BHK Flat,1.0,Chembur,600.0,16670.0,4 Year Old,4.0,Lowerof 7 floors,Unfurnished,,2.0,,0.0,Yes
3 BHK Flat,3.4,Malad West,1350.0,25180.0,4 Year Old,4.0,Middleof 20 floors,Unfurnished,1127.0,3.0,3.0,0.0,Yes
2 BHK Flat,0.68,Vasai West,965.0,7050.0,2 Year Old,2.0,Middleof 17 floors,Semi Furnished,,3.0,,,Yes
2 BHK Flat,3.1,Santacruz East,1100.0,28180.0,1 Years Old,1.0,Higherof 10 floors,Unfurnished,741.0,2.0,2.0,0.0,Yes
2 BHK Flat,0.46,Naigaon East,865.0,5320.0,1 Years Old,1.0,Lowerof 22 floors,Unfurnished,565.0,2.0,2.0,4.0,Yes
1 BHK Flat,0.34,Naigaon East,565.0,6020.0,4 Year Old,4.0,Middleof 14 floors,,345.0,1.0,1.0,3.0,Yes
2 BHK Flat,2.7,Dadar East,1000.0,27000.0,1 Years Old,1.0,Middleof 7 floors,Semi Furnished,653.0,2.0,2.0,0.0,Yes
2 BHK Flat,1.46,Mira Road East,1026.0,14230.0,1 Years Old,1.0,Middleof 30 floors,Semi Furnished,700.0,2.0,2.0,1.0,Yes
2 BHK Flat,1.4,Borivali East,950.0,14740.0,Ready to move,,unknown,,559.0,2.0,2.0,2.0,Yes
1 BHK Flat,1.15,Kandivali East,550.0,20910.0,1 BHK,,Lowerof 40 floors,Semi Furnished,433.0,1.0,2.0,2.0,Yes
2 BHK Flat,2.0,Goregaon East,749.0,26700.0,1 Years Old,1.0,Middleof 8 floors,Unfurnished,749.0,2.0,2.0,0.0,Yes
5 BHK Flat,6.0,Kandivali East,2650.0,22640.0,2 Year Old,2.0,Middleof 18 floors,Semi Furnished,1752.0,5.0,4.0,0.0,Yes
5 BHK Flat,10.0,Andheri West,3500.0,28570.0,2 Year Old,2.0,Higherof 25 floors,Unfurnished,,5.0,2.0,,Yes
2 BHK Flat,2.85,Andheri West,1350.0,21110.0,3 Year Old,3.0,Middleof 18 floors,Semi Furnished,890.0,2.0,2.0,1.0,Yes
2 BHK Flat,0.95,Bhayandar East,900.0,10550.0,Ready to move,,unknown,,,2.0,4.0,,no
2 BHK Flat,3.86,Dadar West,949.0,40670.0,2 Year Old,2.0,Middleof 22 floors,Semi Furnished,730.0,2.0,2.0,0.0,Yes
